scrape_date,country,currency,name,brand,category,price_raw,bottle_size_raw,amazon_rating_raw,amazon_reviews_raw,amazon_title_raw,amazon_url,availability
2026-04-15,UAE,AED,Coco Mademoiselle,Chanel,designer,AED649.00,3.4 oz,4.5 out of 5 stars,,COCO MADEMOISELLE by Chanel Eau De Parfum Spray 3.4 oz / 100 ml (Women),https://www.amazon.ae/s?k=Chanel+Coco+Mademoiselle+100ml,in_stock
2026-04-15,UAE,AED,Chanel No 5 Eau Premiere,Chanel,designer,AED556.99,100 ml,,,"N° 5 Eau Premiere by Chanel for Women - Eau de Toilette, 100 ml",https://www.amazon.ae/s?k=Chanel+No+5+Eau+Premiere+100ml,in_stock
2026-04-15,UAE,AED,Black Orchid,Tom Ford,designer,AED389.00,1.7 oz,4.4 out of 5 stars,,Black Orchid by Tom Ford Eau De Parfum Spray 1.7 oz Women,https://www.amazon.ae/s?k=Tom+Ford+Black+Orchid+100ml,in_stock
2026-04-15,UAE,AED,Tobacco Vanille,Tom Ford,designer,AED750.50,50 ml,4.4 out of 5 stars,,"Tobacco Vanille by Tom Ford for Men - Eau de Parfum, 50 ml",https://www.amazon.ae/s?k=Tom+Ford+Tobacco+Vanille+100ml,in_stock
2026-04-15,UAE,AED,1888,Xerjoff,designer,AED473.00,,4.7 out of 5 stars,,Xerjoff,https://www.amazon.ae/s?k=Xerjoff+1888+100ml,in_stock
2026-04-15,UAE,AED,Fiero,Xerjoff,designer,AED498.25,100ml,3.1 out of 5 stars,,CASAMORATI DAL 1888 Xerjoff Fiero Eau de Parfum 100ml,https://www.amazon.ae/s?k=Xerjoff+Fiero+100ml,in_stock
2026-04-15,UAE,AED,Eros,Versace,designer,AED207.00,100ml,4.6 out of 5 stars,,"Eros Pour Femme Eau de Toilette by Versace for Women - Eau de Toilette, 100ml",https://www.amazon.ae/s?k=Versace+Eros+100ml,in_stock
2026-04-15,UAE,AED,Pour Femme Dylan Blue,Versace,designer,AED200.00,100ml,4.7 out of 5 stars,,"Dylan Blue by Versace for Women - Eau de Parfum, 100ml",https://www.amazon.ae/s?k=Versace+Pour+Femme+Dylan+Blue+100ml,in_stock
2026-04-15,UAE,AED,Bright Crystal,Versace,designer,AED180.75,90ml,4.7 out of 5 stars,,"Bright Crystal by Versace for Women - Eau de Toilette, 90ml",https://www.amazon.ae/s?k=Versace+Bright+Crystal+90ml,in_stock
2026-04-15,UAE,AED,1 Million,Paco Rabanne,designer,AED320.00,100 ml,4.6 out of 5 stars,,Paco Rabanne 1 Million Royal Fragrance 100 ml,https://www.amazon.ae/s?k=Paco+Rabanne+1+Million+100ml,in_stock
2026-04-15,UAE,AED,Invictus,Rabanne,designer,AED275.00,100 ml,4.7 out of 5 stars,,PACO RABANNE Invictus Parfum 100 ml,https://www.amazon.ae/s?k=Rabanne+Invictus+100ml,in_stock
2026-04-15,UAE,AED,Phantom Parfum,Rabanne,designer,AED247.48,100ml,4.8 out of 5 stars,,Paco Rabanne Phantom For Men Eau De Toilette 100ml,https://www.amazon.ae/s?k=Rabanne+Phantom+Parfum+100ml,in_stock
2026-04-15,UAE,AED,Acqua di Gio,Giorgio Armani,designer,AED236.00,100ml,4.6 out of 5 stars,,"Acqua di Gio by Giorgio Armani - perfumes for Men - Eau de Toilette, 100ml",https://www.amazon.ae/s?k=Giorgio+Armani+Acqua+di+Gio+100ml,in_stock
2026-04-15,UAE,AED,Armani Code Parfum,Giorgio Armani,designer,AED328.30,100 ml,4.6 out of 5 stars,,"Giorgio Armani Si Eau de Parfum Spray For Women, 100 ml",https://www.amazon.ae/s?k=Giorgio+Armani+Armani+Code+Parfum+100ml,in_stock
2026-04-15,UAE,AED,Si,Giorgio Armani,designer,AED329.00,100ml,4.6 out of 5 stars,,Giorgio Armani Women's Si Eau de Parfum Spray (100ml),https://www.amazon.ae/s?k=Giorgio+Armani+Si+100ml,in_stock
2026-04-15,UAE,AED,My Way,Giorgio Armani,designer,AED319.00,90ML,4.6 out of 5 stars,,GIORGIO ARMANI MY WAY EDP 90ML,https://www.amazon.ae/s?k=Giorgio+Armani+My+Way+90ml,in_stock
2026-04-15,UAE,AED,La Nuit de l'Homme,Yves Saint Laurent,designer,AED376.77,100 ml,5.0 out of 5 stars,,"La Nuit De L'Homme Le Parfum by Yves Saint Laurent - perfume for men - Eau de Parfum, 100 ml",https://www.amazon.ae/s?k=Yves+Saint+Laurent+La+Nuit+de+L+Homme+100ml,in_stock
2026-04-15,UAE,AED,Black Opium,Yves Saint Laurent,designer,AED490.75,90ml,5.0 out of 5 stars,,"Black Opium Intense by Yves Saint Laurent - perfumes for women - Eau de Parfum, 90ml",https://www.amazon.ae/s?k=Yves+Saint+Laurent+Black+Opium+90ml,in_stock
2026-04-15,UAE,AED,La Vie Est Belle,Lancome,designer,AED449.00,100 ml,4.7 out of 5 stars,,Lancome La Vie Est Belle Vanille Nude L'Eau De Parfum Sensuelle 100 ml,https://www.amazon.ae/s?k=Lancome+La+Vie+Est+Belle+100ml,in_stock
2026-04-15,UAE,AED,Pegasus,Parfums de Marly,designer,AED830.50,4.2 oz,2.4 out of 5 stars,,Pegasus Exclusif by Parfums De Marly Eau De Parfum Spray 4.2 oz,https://www.amazon.ae/s?k=Parfums+de+Marly+Pegasus+125ml,in_stock
2026-04-15,UAE,AED,Yara,Lattafa,arabic,AED83.00,,5.0 out of 5 stars,,"YARA Bukhoor - 40 GMS by Lattafa | Enchanting, Elegant, Luxurious, Captivating Arabian Fragrance.",https://www.amazon.ae/s?k=Lattafa+Yara+100ml,in_stock
2026-04-15,UAE,AED,Yara Moi,Lattafa,arabic,AED224.99,,4.5 out of 5 stars,,Bundle of Yara Moi Lattafa Perfume EDP with Six Scented Car Freshener Cards,https://www.amazon.ae/s?k=Lattafa+Yara+Moi+100ml,in_stock
2026-04-15,UAE,AED,Raghba,Lattafa,arabic,AED156.07,100ml,,,Ard al Zaafaran Lattafa Raghba Wood Intense EDP 100ml M,https://www.amazon.ae/s?k=Lattafa+Raghba+100ml,in_stock
2026-04-15,UAE,AED,Badee Al Oud Amethyst,Lattafa,arabic,AED99.00,,,,"Badee Al Oud Noble Blush Eau de Parfum by Lattafa, Rose Milk, Almond, Meringue, Sandalwood, Vanilla, Musk",https://www.amazon.ae/s?k=Lattafa+Badee+Al+Oud+Amethyst+100ml,in_stock
2026-04-15,UAE,AED,Fakhar Black,Lattafa,arabic,AED88.00,100 Ml,,,"Fakhar Lattafa Eau de Parfum, Oriental Fragrance, Orange Blossom, Tuberose, Jasmine, Vetiver, Patchouli,100 Ml",https://www.amazon.ae/s?k=Lattafa+Fakhar+Black+100ml,in_stock
2026-04-15,UAE,AED,Raghba Wood Intense,Lattafa,arabic,AED156.07,100ml,,,Ard al Zaafaran Lattafa Raghba Wood Intense EDP 100ml M,https://www.amazon.ae/s?k=Lattafa+Raghba+Wood+Intense+100ml,in_stock
2026-04-15,UAE,AED,Hawas for Him,Rasasi,arabic,AED97.00,3.38 oz,4.3 out of 5 stars,,Hawas Black by Rasasi for Men - 3.38 oz EDP Spray,https://www.amazon.ae/s?k=Rasasi+Hawas+for+Him+100ml,in_stock
2026-04-15,UAE,AED,Hawas Ice,Rasasi,arabic,AED97.00,3.38 oz,4.3 out of 5 stars,,Hawas Black by Rasasi for Men - 3.38 oz EDP Spray,https://www.amazon.ae/s?k=Rasasi+Hawas+Ice+100ml,in_stock
2026-04-15,UAE,AED,Hawas Black,Rasasi,arabic,AED97.00,3.38 oz,4.3 out of 5 stars,,Hawas Black by Rasasi for Men - 3.38 oz EDP Spray,https://www.amazon.ae/s?k=Rasasi+Hawas+Black+100ml,in_stock
2026-04-15,UAE,AED,Hawas Elixir,Rasasi,arabic,AED97.00,3.38 oz,4.3 out of 5 stars,,Hawas Black by Rasasi for Men - 3.38 oz EDP Spray,https://www.amazon.ae/s?k=Rasasi+Hawas+Elixir+100ml,in_stock
2026-04-15,UAE,AED,Royal Blend Bourbon,French Avenue,arabic,AED127.00,100ml,4.4 out of 5 stars,,"French Avenue Royal Blend Nero, Citrus Vanilla Extrait de Parfum for Men, 100ml - Bergamot, Vanilla & Saffron notes",https://www.amazon.ae/s?k=French+Avenue+Royal+Blend+Bourbon+100ml,in_stock
2026-04-15,UAE,AED,Azzure Oud,French Avenue,arabic,AED147.00,100ml,4.1 out of 5 stars,,"French Avenue Azzure Aoud, Leather Eau De Parfum For Men, 100ml – Oud, Leather & Saffron notes",https://www.amazon.ae/s?k=French+Avenue+Azzure+Oud+100ml,in_stock
2026-04-15,UAE,AED,Vulcan Feu,French Avenue,arabic,AED164.85,100ml,4.5 out of 5 stars,,"French Avenue Vulcan Feu, Oriental Woody Scent, Eau De Perfume(EDP) for Men, 100ml (3.4 FlOz) - with Ginger, Mango, Rhubarb & Cedarwood notes by Fragrance World",https://www.amazon.ae/s?k=French+Avenue+Vulcan+Feu+100ml,in_stock
2026-04-15,UAE,AED,Veneno,French Avenue,arabic,AED180.00,100ml,4.2 out of 5 stars,,"French Avenue Veneno Bianco, Floral Amber Eau De Parfum(EDP) for Women, 100ml-Bergamot, Vanilla & Neroli notes",https://www.amazon.ae/s?k=French+Avenue+Veneno+100ml,in_stock
2026-04-15,UAE,AED,Tres Nuit,Armaf,arabic,AED75.00,3.4oz,4.0 out of 5 stars,,"Tres Nuit Armaf Fragrance, 3.4oz",https://www.amazon.ae/s?k=Armaf+Tres+Nuit+100ml,in_stock
2026-04-15,UAE,AED,L'Aventure,Al Haramain,arabic,AED250.00,100ml,4.3 out of 5 stars,,"AL Al Haramain L’Aventure Ciel 100ml Spray | Luxury Unisex Eau de Parfum | Woody Floral Musk, Ambergris, Jasmine Tea, Violet & Sandalwood | Premium Arabian Perfume L'AVENTURE CIEL 100ML SPRAY",https://www.amazon.ae/s?k=Al+Haramain+L+Aventure+100ml,in_stock
2026-04-15,UAE,AED,L'Aventure Knight,Al Haramain,arabic,AED250.00,100ml,4.3 out of 5 stars,,"AL Al Haramain L’Aventure Ciel 100ml Spray | Luxury Unisex Eau de Parfum | Woody Floral Musk, Ambergris, Jasmine Tea, Violet & Sandalwood | Premium Arabian Perfume L'AVENTURE CIEL 100ML SPRAY",https://www.amazon.ae/s?k=Al+Haramain+L+Aventure+Knight+100ml,in_stock
2026-04-15,UAE,AED,Supremacy Silver,Afnan,arabic,AED111.00,100 ml,3.9 out of 5 stars,,"Supremacy Silver by Afnan Perfumes - perfume for men - Eau De Parfum, 100 ml",https://www.amazon.ae/s?k=Afnan+Supremacy+Silver+100ml,in_stock
2026-04-15,UAE,AED,Supremacy Gold,Afnan,arabic,AED97.00,100 ml,5.0 out of 5 stars,,"Supremacy Gold By Afnan for Unisex, EDP, 100 ml",https://www.amazon.ae/s?k=Afnan+Supremacy+Gold+100ml,in_stock
2026-04-15,UAE,AED,Saffron Oud,Arabian Oud,arabic,AED102.00,100ml,3.7 out of 5 stars,,Swiss Arabian Oud and Lychee Eau De Parfum 100ml,https://www.amazon.ae/s?k=Arabian+Oud+Saffron+Oud+100ml,in_stock
